mnemonic,op1,op2,op3,op4,iext,tested f,modif f,def f,undef f,f values,"description, notes"
DAS,AL,,,,,.....a.c,o..szapc,...szapc,o.......,,Decimal Adjust AL after Subtraction
XOR,r/m8,r8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
XOR,r/m16/32,r16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
XOR,r8,r/m8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
XOR,r16/32,r/m16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
XOR,AL,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
XOR,eAX,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
SS,SS,,,,,,,,,,SS segment override prefix
AAA,AL,AH,,,,.....a..,o..szapc,.....a.c,o..sz.p.,,ASCII Adjust After Addition
CMP,r/m8,r8,,,,,o..szapc,o..szapc,,,Compare Two Operands
CMP,r/m16/32,r16/32,,,,,o..szapc,o..szapc,,,Compare Two Operands
CMP,r8,r/m8,,,,,o..szapc,o..szapc,,,Compare Two Operands
CMP,r16/32,r/m16/32,,,,,o..szapc,o..szapc,,,Compare Two Operands
CMP,AL,imm8,,,,,o..szapc,o..szapc,,,Compare Two Operands
CMP,eAX,imm16/32,,,,,o..szapc,o..szapc,,,Compare Two Operands
DS,DS,,,,,,,,,,DS segment override prefix
AAS,AL,AH,,,,.....a..,o..szapc,.....a.c,o..sz.p.,,ASCII Adjust AL After Subtraction
INC,r16/32,,,,,,o..szap.,o..szap.,,,Increment by 1
DEC,r16/32,,,,,,o..szap.,o..szap.,,,Decrement by 1
PUSH,r16/32,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
POP,r16/32,,,,,,,,,,Pop a Value from the Stack
PUSHA,AX,CX,DX,...,,,,,,,Push All General-Purpose Registers
PUSHAD,EAX,ECX,EDX,...,,,,,,,Push All General-Purpose Registers
POPA,DI,SI,BP,...,,,,,,,Pop All General-Purpose Registers
POPAD,EDI,ESI,EBP,...,,,,,,,Pop All General-Purpose Registers
BOUND,r16/32,m16/32&16/32,eFlags,,,,..i.....,..i.....,,..i.....,Check Array Index Against Bounds
ARPL,r/m16,r16,,,,,....z...,....z...,,,Adjust RPL Field of Segment Selector
FS,FS,,,,,,,,,,FS segment override prefix
GS,GS,,,,,,,,,,GS segment override prefix
no mnemonic,,,,,,,,,,,Operand-size override prefix
no mnemonic,,,,,sse2,,,,,,Precision-size override prefix
no mnemonic,,,,,,,,,,,Address-size override prefix
PUSH,imm16/32,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
IMUL,r16/32,r/m16/32,imm16/32,,,,o..szapc,o......c,...szap.,,Signed Multiply
PUSH,imm8,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
IMUL,r16/32,r/m16/32,imm8,,,,o..szapc,o......c,...szap.,,Signed Multiply
INS,m8,DX,,,,.d......,,,,,Input from Port to String
INSB,m8,DX,,,,,,,,,
INS,m16,DX,,,,.d......,,,,,Input from Port to String
INSW,m16,DX,,,,,,,,,
INS,m16/32,DX,,,,.d......,,,,,Input from Port to String
INSD,m32,DX,,,,,,,,,
OUTS,DX,m8,,,,.d......,,,,,Output String to Port
OUTSB,DX,m8,,,,,,,,,
OUTS,DX,m16,,,,.d......,,,,,Output String to Port
OUTSW,DX,m16,,,,,,,,,
OUTS,DX,m16/32,,,,.d......,,,,,Output String to Port
OUTSD,DX,m32,,,,,,,,,
JO,rel8,,,,,o.......,,,,,Jump short if overflow (OF=1)
JNO,rel8,,,,,o.......,,,,,Jump short if not overflow (OF=0)
JB,rel8,,,,,.......c,,,,,Jump short if below/not above or equal/carry (CF=1)
JNAE,rel8,,,,,,,,,,
JC,rel8,,,,,,,,,,
JNB,rel8,,,,,.......c,,,,,Jump short if not below/above or equal/not carry (CF=0)
JAE,rel8,,,,,,,,,,
JNC,rel8,,,,,,,,,,
JZ,rel8,,,,,....z...,,,,,Jump short if zero/equal (ZF=0)
JE,rel8,,,,,,,,,,
JNZ,rel8,,,,,....z...,,,,,Jump short if not zero/not equal (ZF=1)
JNE,rel8,,,,,,,,,,
JBE,rel8,,,,,....z..c,,,,,Jump short if below or equal/not above (CF=1 AND ZF=1)
JNA,rel8,,,,,,,,,,
JNBE,rel8,,,,,....z..c,,,,,Jump short if not below or equal/above (CF=0 AND ZF=0)
JA,rel8,,,,,,,,,,
JS,rel8,,,,,...s....,,,,,Jump short if sign (SF=1)
JNS,rel8,,,,,...s....,,,,,Jump short if not sign (SF=0)
JP,rel8,,,,,......p.,,,,,Jump short if parity/parity even (PF=1)
JPE,rel8,,,,,,,,,,
JNP,rel8,,,,,......p.,,,,,Jump short if not parity/parity odd
JPO,rel8,,,,,,,,,,
JL,rel8,,,,,o..s....,,,,,Jump short if less/not greater (SF!=OF)
JNGE,rel8,,,,,,,,,,
JNL,rel8,,,,,o..s....,,,,,Jump short if not less/greater or equal (SF=OF)
JGE,rel8,,,,,,,,,,
JLE,rel8,,,,,o..sz...,,,,,Jump short if less or equal/not greater ((ZF=1) OR (SF!=OF))
JNG,rel8,,,,,,,,,,
JNLE,rel8,,,,,o..sz...,,,,,Jump short if not less nor equal/greater ((ZF=0) AND (SF=OF))
JG,rel8,,,,,,,,,,
ADD,r/m8,imm8,,,,,o..szapc,o..szapc,,,Add
OR,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
ADC,r/m8,imm8,,,,.......c,o..szapc,o..szapc,,,Add with Carry
SBB,r/m8,imm8,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
AND,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
SUB,r/m8,imm8,,,,,o..szapc,o..szapc,,,Subtract
XOR,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
CMP,r/m8,imm8,,,,,o..szapc,o..szapc,,,Compare Two Operands
ADD,r/m16/32,imm16/32,,,,,o..szapc,o..szapc,,,Add
OR,r/m16/32,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
ADC,r/m16/32,imm16/32,,,,.......c,o..szapc,o..szapc,,,Add with Carry
SBB,r/m16/32,imm16/32,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
AND,r/m16/32,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
SUB,r/m16/32,imm16/32,,,,,o..szapc,o..szapc,,,Subtract
XOR,r/m16/32,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
CMP,r/m16/32,imm16/32,,,,,o..szapc,o..szapc,,,Compare Two Operands
ADD,r/m8,imm8,,,,,o..szapc,o..szapc,,,Add
OR,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
ADC,r/m8,imm8,,,,.......c,o..szapc,o..szapc,,,Add with Carry
SBB,r/m8,imm8,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
AND,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
SUB,r/m8,imm8,,,,,o..szapc,o..szapc,,,Subtract
XOR,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
CMP,r/m8,imm8,,,,,o..szapc,o..szapc,,,Compare Two Operands
ADD,r/m16/32,imm8,,,,,o..szapc,o..szapc,,,Add
OR,r/m16/32,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
ADC,r/m16/32,imm8,,,,.......c,o..szapc,o..szapc,,,Add with Carry
SBB,r/m16/32,imm8,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
AND,r/m16/32,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
SUB,r/m16/32,imm8,,,,,o..szapc,o..szapc,,,Subtract
XOR,r/m16/32,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
CMP,r/m16/32,imm8,,,,,o..szapc,o..szapc,,,Compare Two Operands
TEST,r/m8,r8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
TEST,r/m16/32,r16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
XCHG,r8,r/m8,,,,,,,,,Exchange Register/Memory with Register
XCHG,r16/32,r/m16/32,,,,,,,,,Exchange Register/Memory with Register
MOV,r/m8,r8,,,,,,,,,Move
MOV,r/m16/32,r16/32,,,,,,,,,Move
MOV,r8,r/m8,,,,,,,,,Move
MOV,r16/32,r/m16/32,,,,,,,,,Move
MOV,m16,Sreg,,,,,,,,,Move
MOV,r16/32,Sreg,,,,,,,,,
LEA,r16/32,m,,,,,,,,,Load Effective Address
MOV,Sreg,r/m16,,,,,,,,,Move
POP,r/m16/32,,,,,,,,,,Pop a Value from the Stack
XCHG,r16/32,eAX,,,,,,,,,Exchange Register/Memory with Register
NOP,,,,,,,,,,,No Operation
PAUSE,,,,,sse2,,,,,,Spin Loop Hint
CBW,AX,AL,,,,,,,,,Convert Byte to Word
CWDE,EAX,AX,,,,,,,,,Convert Word to Doubleword
CWD,DX,AX,,,,,,,,,Convert Word to Doubleword
CDQ,EDX,EAX,,,,,,,,,Convert Doubleword to Quadword
CALLF,ptr16:16/32,,,,,,,,,,Call Procedure
FWAIT,,,,,,,123,,123,,Check pending unmasked floating-point exceptions
WAIT,,,,,,,,,,,
no mnemonic,,,,,,,123,,123,,Wait Prefix
PUSHF,Flags,,,,,,,,,,Push FLAGS Register onto the Stack
PUSHFD,EFlags,,,,,,,,,,Push eFLAGS Register onto the Stack
POPF,Flags,,,,,,,,,,Pop Stack into FLAGS Register
POPFD,EFlags,,,,,,,,,,Pop Stack into eFLAGS Register
SAHF,AH,,,,,,...szapc,...szapc,,,Store AH into Flags
LAHF,AH,,,,,...szapc,,,,,Load Status Flags into AH Register
MOV,AL,moffs8,,,,,,,,,Move
MOV,eAX,moffs16/32,,,,,,,,,Move
MOV,moffs8,AL,,,,,,,,,Move
MOV,moffs16/32,eAX,,,,,,,,,Move
MOVS,m8,m8,,,,.d......,,,,,Move Data from String to String
MOVSB,m8,m8,,,,,,,,,
MOVS,m16,m16,,,,.d......,,,,,Move Data from String to String
MOVSW,m16,m16,,,,,,,,,
MOVS,m16/32,m16/32,,,,.d......,,,,,Move Data from String to String
MOVSD,m32,m32,,,,,,,,,
CMPS,m8,m8,,,,.d......,o..szapc,o..szapc,,,Compare String Operands
CMPSB,m8,m8,,,,,,,,,
CMPS,m16,m16,,,,.d......,o..szapc,o..szapc,,,Compare String Operands
CMPSW,m16,m16,,,,,,,,,
CMPS,m16/32,m16/32,,,,.d......,o..szapc,o..szapc,,,Compare String Operands
CMPSD,m32,m32,,,,,,,,,
TEST,AL,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
TEST,eAX,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
STOS,m8,AL,,,,.d......,,,,,Store String
STOSB,m8,AL,,,,,,,,,
STOS,m16,AX,,,,.d......,,,,,Store String
STOSW,m16,AX,,,,,,,,,
STOS,m16/32,eAX,,,,.d......,,,,,Store String
STOSD,m32,EAX,,,,,,,,,
LODS,AL,m8,,,,.d......,,,,,Load String
LODSB,AL,m8,,,,,,,,,
LODS,AX,m16,,,,.d......,,,,,Load String
LODSW,AX,m16,,,,,,,,,
LODS,eAX,m16/32,,,,.d......,,,,,Load String
LODSD,EAX,m32,,,,,,,,,
SCAS,m8,AL,,,,.d......,o..szapc,o..szapc,,,Scan String
SCASB,m8,AL,,,,,,,,,
SCAS,m16,AX,,,,.d......,o..szapc,o..szapc,,,Scan String
SCASW,m16,AX,,,,,,,,,
SCAS,m16/32,eAX,,,,.d......,o..szapc,o..szapc,,,Scan String
SCASD,m32,EAX,,,,,,,,,
MOV,r8,imm8,,,,,,,,,Move
MOV,r16/32,imm16/32,,,,,,,,,Move
ROL,r/m8,imm8,,,,,o..szapc,o..szapc,o.......,,Rotate
ROR,r/m8,imm8,,,,,o..szapc,o..szapc,o.......,,Rotate
RCL,r/m8,imm8,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
RCR,r/m8,imm8,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
SHL,r/m8,imm8,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
SAL,r/m8,imm8,,,,,,,,,
SHR,r/m8,imm8,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
SAL,r/m8,imm8,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
SHL,r/m8,imm8,,,,,,,,,
SAR,r/m8,imm8,,,,,o..szapc,o..sz.pc,o....a..,,Shift
ROL,r/m16/32,imm8,,,,,o..szapc,o..szapc,o.......,,Rotate
ROR,r/m16/32,imm8,,,,,o..szapc,o..szapc,o.......,,Rotate
RCL,r/m16/32,imm8,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
RCR,r/m16/32,imm8,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
SHL,r/m16/32,imm8,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
SAL,r/m16/32,imm8,,,,,,,,,
SHR,r/m16/32,imm8,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
SAL,r/m16/32,imm8,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
SHL,r/m16/32,imm8,,,,,,,,,
SAR,r/m16/32,imm8,,,,,o..szapc,o..sz.pc,o....a..,,Shift
RETN,imm16,,,,,,,,,,Return from procedure
RETN,,,,,,,,,,,Return from procedure
LES,ES,r16/32,m16:16/32,,,,,,,,Load Far Pointer
LDS,DS,r16/32,m16:16/32,,,,,,,,Load Far Pointer
MOV,r/m8,imm8,,,,,,,,,Move
MOV,r/m16/32,imm16/32,,,,,,,,,Move
ENTER,eBP,imm16,imm8,,,,,,,,Make Stack Frame for Procedure Parameters
LEAVE,eBP,,,,,,,,,,High Level Procedure Exit
RETF,imm16,,,,,,,,,,Return from procedure
RETF,,,,,,,,,,,Return from procedure
INT,3,eFlags,,,,,..i.....,..i.....,,..i.....,Call to Interrupt Procedure
INT,imm8,eFlags,,,,,..i.....,..i.....,,..i.....,Call to Interrupt Procedure
INTO,eFlags,,,,,o.......,..i.....,..i.....,,..i.....,Call to Interrupt Procedure
IRET,Flags,,,,,,,,,,Interrupt Return
IRETD,EFlags,,,,,,,,,,Interrupt Return
ROL,r/m8,1,,,,,o..szapc,o..szapc,,,Rotate
ROR,r/m8,1,,,,,o..szapc,o..szapc,,,Rotate
RCL,r/m8,1,,,,.......c,o..szapc,o..szapc,,,Rotate
RCR,r/m8,1,,,,.......c,o..szapc,o..szapc,,,Rotate
SHL,r/m8,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
SAL,r/m8,1,,,,,,,,,
SHR,r/m8,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
SAL,r/m8,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
SHL,r/m8,1,,,,,,,,,
SAR,r/m8,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
ROL,r/m16/32,1,,,,,o..szapc,o..szapc,,,Rotate
ROR,r/m16/32,1,,,,,o..szapc,o..szapc,,,Rotate
RCL,r/m16/32,1,,,,.......c,o..szapc,o..szapc,,,Rotate
RCR,r/m16/32,1,,,,.......c,o..szapc,o..szapc,,,Rotate
SHL,r/m16/32,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
SAL,r/m16/32,1,,,,,,,,,
SHR,r/m16/32,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
SAL,r/m16/32,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
SHL,r/m16/32,1,,,,,,,,,
SAR,r/m16/32,1,,,,,o..szapc,o..sz.pc,.....a..,,Shift
ROL,r/m8,CL,,,,,o..szapc,o..szapc,o.......,,Rotate
ROR,r/m8,CL,,,,,o..szapc,o..szapc,o.......,,Rotate
RCL,r/m8,CL,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
RCR,r/m8,CL,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
SHL,r/m8,CL,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
SAL,r/m8,CL,,,,,,,,,
SHR,r/m8,CL,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
SAL,r/m8,CL,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
SHL,r/m8,CL,,,,,,,,,
SAR,r/m8,CL,,,,,o..szapc,o..sz.pc,o....a..,,Shift
ROL,r/m16/32,CL,,,,,o..szapc,o..szapc,o.......,,Rotate
ROR,r/m16/32,CL,,,,,o..szapc,o..szapc,o.......,,Rotate
RCL,r/m16/32,CL,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
RCR,r/m16/32,CL,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
SHL,r/m16/32,CL,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
SAL,r/m16/32,CL,,,,,,,,,
SHR,r/m16/32,CL,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
SAL,r/m16/32,CL,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
SHL,r/m16/32,CL,,,,,,,,,
SAR,r/m16/32,CL,,,,,o..szapc,o..sz.pc,.....a..,,Shift
AAM,AL,AH,,,,,o..szapc,...sz.p.,o....a.c,,ASCII Adjust AX After Multiply
AMX,AL,AH,imm8,,,,o..szapc,...sz.p.,o....a.c,,Adjust AX After Multiply
AAD,AL,AH,,,,,o..szapc,...sz.p.,o....a.c,,ASCII Adjust AX Before Division
ADX,AL,AH,imm8,,,,o..szapc,...sz.p.,o....a.c,,Adjust AX Before Division
undefined,,,,,,,,,,,Undefined and Reserved; Does not Generate #UD
SALC,AL,,,,,.......c,,,,,Set AL If Carry
SETALC,AL,,,,,,,,,,
XLAT,AL,m8,,,,,,,,,Table Look-up Translation
XLATB,AL,m8,,,,,,,,,
FADD,ST,m32real,,,,,123,.1..,0.23,,Add
FADD,ST,STi,,,,,,,,,
FMUL,ST,m32real,,,,,123,.1..,0.23,,Multiply
FMUL,ST,STi,,,,,,,,,
FCOM,ST,STi/m32real,,,,,123,123,,,Compare Real
FCOM,ST,ST1,,,,,123,123,,,Compare Real
FCOMP,ST,STi/m32real,,,,,123,123,,,Compare Real and Pop
FCOMP,ST,ST1,,,,,123,123,,,Compare Real and Pop
FSUB,ST,m32real,,,,,123,.1..,0.23,,Subtract
FSUB,ST,STi,,,,,,,,,
FSUBR,ST,m32real,,,,,123,.1..,0.23,,Reverse Subtract
FSUBR,ST,STi,,,,,,,,,
FDIV,ST,m32real,,,,,123,.1..,0.23,,Divide
FDIV,ST,STi,,,,,,,,,
FDIVR,ST,m32real,,,,,123,.1..,0.23,,Reverse Divide
FDIVR,ST,STi,,,,,,,,,
FLD,ST,STi/m32real,,,,,123,.1..,0.23,,Load Floating Point Value
FXCH,ST,STi,,,,,123,.1..,0.23,,Exchange Register Contents
FXCH,ST,ST1,,,,,123,.1..,0.23,,Exchange Register Contents
FST,m32real,ST,,,,,123,.1..,0.23,,Store Floating Point Value
FNOP,,,,,,,123,,123,,No Operation
FSTP,m32real,ST,,,,,123,.1..,0.23,,Store Floating Point Value and Pop
FSTP1,STi,ST,,,,,123,.1..,0.23,,Store Floating Point Value and Pop
FLDENV,m14/28,,,,,,123,123,,,Load x87 FPU Environment
FCHS,ST,,,,,,123,.1..,0.23,,Change Sign
FABS,ST,,,,,,123,.1..,0.23,,Absolute Value
FTST,ST,,,,,,123,123,,,Test
FXAM,ST,,,,,,123,123,,,Examine
FLDCW,m16,,,,,,123,,123,,Load x87 FPU Control Word
FLD1,ST,,,,,,123,.1..,0.23,,Load Constant +1.0
FLDL2T,ST,,,,,,123,.1..,0.23,,Load Constant log210
FLDL2E,ST,,,,,,123,.1..,0.23,,Load Constant log2e
FLDPI,ST,,,,,,123,.1..,0.23,,Load Constant π
FLDLG2,ST,,,,,,123,.1..,0.23,,Load Constant log102
FLDLN2,ST,,,,,,123,.1..,0.23,,Load Constant loge2
FLDZ,ST,,,,,,123,.1..,0.23,,Load Constant +0.0
FNSTENV,m14/28,,,,,,123,,123,,Store x87 FPU Environment
FSTENV,m14/28,,,,,,123,,123,,Store x87 FPU Environment
F2XM1,ST,,,,,,123,.1..,0.23,,Compute 2x-1
FYL2X,ST1,ST,,,,,123,.1..,0.23,,Compute y × log2x and Pop
FPTAN,ST,,,,,,123,.12.,0..3,,Partial Tangent
FPATAN,ST1,ST,,,,,123,.1..,0.23,,Partial Arctangent and Pop
FXTRACT,ST,,,,,,123,.1..,0.23,,Extract Exponent and Significand
FPREM1,ST,ST1,,,,,123,123,,,IEEE Partial Remainder
FDECSTP,,,,,,,123,.1..,0.23,.0..,Decrement Stack-Top Pointer
FINCSTP,,,,,,,123,.1..,0.23,.0..,Increment Stack-Top Pointer
FNSTCW,m16,,,,,,123,,123,,Store x87 FPU Control Word
FSTCW,m16,,,,,,123,,123,,Store x87 FPU Control Word
FPREM,ST,ST1,,,,,123,123,,,Partial Remainder (for compatibility with i8087 and i287)
FYL2XP1,ST1,ST,,,,,123,.1..,0.23,,Compute y × log2(x+1) and Pop
FSQRT,ST,,,,,,123,.1..,0.23,,Square Root
FSINCOS,ST,,,,,,123,.12.,0..3,,Sine and Cosine
FRNDINT,ST,,,,,,123,.1..,0.23,,Round to Integer
FSCALE,ST,ST1,,,,,123,.1..,0.23,,Scale
FSIN,ST,,,,,,123,.12.,0..3,,Sine
FCOS,ST,,,,,,123,.12.,0..3,,Cosine
FIADD,ST,m32int,,,,,123,.1..,0.23,,Add
FCMOVB,ST,STi,,,,.......c,123,.1..,0.23,,FP Conditional Move - below (CF=1)
FIMUL,ST,m32int,,,,,123,.1..,0.23,,Multiply
FCMOVE,ST,STi,,,,....z...,123,.1..,0.23,,FP Conditional Move - equal (ZF=1)
FICOM,ST,m32int,,,,,123,123,,,Compare Integer
FCMOVBE,ST,STi,,,,....z...,123,.1..,0.23,,FP Conditional Move - below or equal (CF=1 or ZF=1)
FICOMP,ST,m32int,,,,,123,123,,,Compare Integer and Pop
FCMOVU,ST,STi,,,,......p.,123,.1..,0.23,,FP Conditional Move - unordered (PF=1)
FISUB,ST,m32int,,,,,123,.1..,0.23,,Subtract
FISUBR,ST,m32int,,,,,123,.1..,0.23,,Reverse Subtract
FUCOMPP,ST,ST1,,,,,123,123,,,Unordered Compare Floating Point Values and Pop Twice
FIDIV,ST,m32int,,,,,123,.1..,0.23,,Divide
FIDIVR,ST,m32int,,,,,123,.1..,0.23,,Reverse Divide
FILD,ST,m32int,,,,,123,.1..,0.23,,Load Integer
FCMOVNB,ST,STi,,,,.......c,123,.1..,0.23,,FP Conditional Move - not below (CF=0)
FISTTP,m32int,ST,,,sse3,,123,.1..,0.23,.0..,Store Integer with Truncation and Pop
FCMOVNE,ST,STi,,,,....z...,123,.1..,0.23,,FP Conditional Move - not equal (ZF=0)
FIST,m32int,ST,,,,,123,.1..,0.23,,Store Integer
FCMOVNBE,ST,STi,,,,....z...,123,.1..,0.23,,FP Conditional Move - below or equal (CF=0 and ZF=0)
FISTP,m32int,ST,,,,,123,.1..,0.23,,Store Integer and Pop
FCMOVNU,ST,STi,,,,......p.,123,.1..,0.23,,FP Conditional Move - not unordered (PF=0)
FNENI nop,,,,,,,,,,,Treated as Integer NOP
FNDISI nop,,,,,,,,,,,Treated as Integer NOP
FNCLEX,,,,,,,123,,123,,Clear Exceptions
FCLEX,,,,,,,123,,123,,Clear Exceptions
FNINIT,,,,,,,123,,,0,Initialize Floating-Point Unit
FINIT,,,,,,,123,,,0,Initialize Floating-Point Unit
FNSETPM nop,,,,,,,,,,,Treated as Integer NOP
